Ejecución nueva 
Número de iteraciones 2
TAM	INT	LONG	FLOAT	DOUBLE
100	0.001000	0.001000	0.001000	0.001000	
200	0.004000	0.003000	0.003000	0.003000	
300	0.006000	0.007000	0.008000	0.007000	
400	0.011000	0.011000	0.014000	0.013000	
500	0.016000	0.017000	0.021000	0.020000	
600	0.025000	0.024000	0.031000	0.028000	
700	0.033000	0.032000	0.042000	0.038000	
800	0.043000	0.043000	0.054000	0.047000	
900	0.055000	0.056000	0.069000	0.060000	
1000	0.067000	0.067000	0.084000	0.076000	
1100	0.080000	0.084000	0.102000	0.091000	
1200	0.098000	0.096000	0.124000	0.110000	
1300	0.111000	0.115000	0.141000	0.127000	
1400	0.129000	0.131000	0.170000	0.150000	
1500	0.155000	0.149000	0.187000	0.178000	
1600	0.180000	0.178000	0.220000	0.196000	
1700	0.201000	0.197000	0.250000	0.223000	
1800	0.225000	0.221000	0.277000	0.259000	
1900	0.251000	0.248000	0.311000	0.281000	
2000	0.279000	0.274000	0.336000	0.316000	
