Ejecución nueva 
Número de iteraciones 1000
TAM	INT	LONG	FLOAT	DOUBLE
250	0.091000	0.093000	0.135000	0.120000	
500	0.120000	0.118000	0.117000	0.128000	
750	0.141000	0.138000	0.140000	0.151000	
1000	0.169000	0.169000	0.166000	0.168000	
1250	0.183000	0.225000	0.183000	0.196000	
1500	0.209000	0.211000	0.210000	0.238000	
1750	0.233000	0.236000	0.233000	0.250000	
2000	0.271000	0.272000	0.270000	0.283000	
2250	0.278000	0.278000	0.279000	0.303000	
2500	0.309000	0.304000	0.302000	0.333000	
2750	0.349000	0.350000	0.395000	0.386000	
3000	0.385000	0.383000	0.384000	0.383000	
3250	0.514000	0.514000	0.514000	0.488000	
3500	0.400000	0.402000	0.402000	0.446000	
3750	0.425000	0.424000	0.422000	0.474000	
4000	0.497000	0.498000	0.500000	0.538000	
4250	0.478000	0.478000	0.482000	0.527000	
4500	0.499000	0.501000	0.499000	0.560000	
4750	0.517000	0.517000	0.518000	0.583000	
5000	0.567000	0.564000	0.566000	0.613000	
5250	0.570000	0.568000	0.570000	0.644000	
5500	0.632000	0.632000	0.633000	0.676000	
5750	0.613000	0.612000	0.614000	0.696000	
6000	0.641000	0.642000	0.642000	0.748000	
6250	0.671000	0.672000	0.678000	0.768000	
6500	0.889000	0.896000	0.889000	0.812000	
6750	0.766000	0.766000	0.767000	0.831000	
7000	0.749000	0.749000	0.749000	0.863000	
7250	0.779000	0.778000	0.779000	0.897000	
7500	0.804000	0.803000	0.803000	0.927000	
7750	0.836000	0.835000	0.835000	0.966000	
8000	1.008000	1.007000	1.007000	1.006000	
8250	0.892000	0.890000	0.891000	1.056000	
8500	0.914000	0.914000	0.914000	1.061000	
8750	0.961000	0.963000	0.960000	1.133000	
9000	0.968000	0.972000	0.966000	1.135000	
9250	0.997000	0.997000	0.996000	1.177000	
9500	1.032000	1.032000	1.036000	1.206000	
9750	1.149000	1.149000	1.154000	1.263000	
10000	1.158000	1.084000	1.088000	1.361000	
10250	1.282000	1.282000	1.282000	1.331000	
10500	1.147000	1.145000	1.146000	1.383000	
10750	1.256000	1.256000	1.255000	1.394000	
11000	1.212000	1.206000	1.207000	1.435000	
11250	1.234000	1.298000	1.233000	1.467000	
11500	1.266000	1.265000	1.265000	1.506000	
11750	1.292000	1.293000	1.293000	1.623000	
12000	1.368000	1.400000	1.347000	1.586000	
12250	1.371000	1.371000	1.371000	1.608000	
12500	1.442000	1.383000	1.381000	1.650000	
12750	1.411000	1.410000	1.411000	1.696000	
13000	1.532000	1.482000	1.481000	1.738000	
13250	1.454000	1.454000	1.453000	1.760000	
13500	1.705000	1.649000	1.648000	1.807000	
13750	1.527000	1.527000	1.526000	1.880000	
14000	1.552000	1.553000	1.554000	1.890000	
