Ejecución nueva 
Número de iteraciones 1000
TAM	INT	LONG	FLOAT	DOUBLE
250	0.926000	0.928000	1.057000	1.024000	
500	3.741000	3.513000	4.284000	4.230000	
750	8.577000	9.351000	8.737000	9.085000	
1000	15.097000	14.929000	16.386000	16.752000	
1250	22.867000	25.536000	26.910000	26.767000	
1500	35.620000	37.493000	40.623000	40.512000	
1750	46.595000	51.951000	56.861000	56.145000	
2000	66.707000	67.182000	72.736000	73.859000	
2250	81.386000	85.385000	94.926000	93.661000	
2500	106.777000	96.408000	115.098000	114.127000	
2750	122.163000	126.850000	140.499000	141.797000	
3000	144.489000	151.510000	162.737000	164.142000	
3250	172.527000	174.885000	198.086000	190.298000	
3500	204.028000	206.217000	225.295000	222.952000	
3750	236.221000	236.915000	264.348000	254.582000	
4000	259.958000	271.443000	304.213000	295.908000	
4250	295.154000	303.386000	343.311000	333.546000	
4500	333.715000	340.503000	385.212000	376.978000	
4750	371.646000	377.709000	426.154000	419.506000	
5000	425.752000	423.997000	479.977000	471.068000	
5250	461.635000	470.481000	528.075000	520.571000	
5500	498.221000	514.313000	572.975000	573.408000	
5750	542.682000	564.267000	633.633000	608.805000	
6000	610.172000	616.148000	682.469000	675.457000	
